pop,sex,wt,sl,spot
UC,F,2.40,49.6,0
BSR,F,6.60,69.4,0
CKAN,M,4.56,54.0,1
CS,M,3.20,56.2,0
BF,M,9.70,73.7,0
BF,F,25.80,94.1,1
CS,M,10.60,74.7,0
BF,M,40.20,106.2,1
6T,F,38.50,105.8,0
6T,F,13.00,81.8,0
HS,F,6.00,63.6,0
BF,F,10.90,75.3,1
BF,F,15.20,82.9,0
UC,F,2.50,53.0,0
UC,M,6.99,70.2,1
BP,F,3.10,49.9,0
6T,F,17.80,85.1,0
CS,M,4.20,60.6,0
HN,M,55.10,126.7,1
BSS,F,1.00,36.6,0
BP,F,7.10,68.1,0
CS,F,16.80,88.5,0
HN,M,56.20,122.3,1
UC,M,2.80,53.5,0
BSS,F,2.00,49.1,0
HS,M,8.10,68.1,1
CKAN,M,27.71,85.0,1
BROD,M,21.61,86.0,1
CS,M,4.30,59.2,0
6T,F,14.90,78.8,0
BROD,M,21.47,79.0,1
CKAN,M,6.60,60.0,0
CKL,F,8.30,66.1,0
CS,M,2.80,54.0,0
HN,F,67.20,129.0,0
BF,F,39.90,109.6,0
CKL,M,8.30,66.9,0
6T,M,45.10,110.9,1
BP,F,13.90,78.7,0
HS,M,5.30,63.5,0
LC,F,3.70,62.3,0
CS,M,2.20,51.0,0
UC,M,3.80,60.6,0
HS,M,7.60,67.0,1
LC,F,3.40,57.7,0
BP,M,5.90,57.1,0
UC,M,3.20,54.8,0
BF,M,27.40,97.5,1
BSR,F,4.50,59.6,0
FL,M,11.90,74.2,0
BSS,F,1.60,46.2,0
HS,M,7.40,67.0,0
6T,M,14.70,79.6,1
BP,M,3.80,53.2,0
HS,F,9.81,73.5,0
HS,M,6.20,68.9,1
UC,F,7.50,71.5,0
FL,M,9.30,65.8,0
CS,M,19.30,93.5,1
BF,M,16.00,82.0,1
CS,F,11.70,79.0,0
BP,F,4.10,54.2,0
HS,M,7.80,66.4,0
BSS,F,2.40,56.9,0
HN,M,52.70,122.6,1
BF,M,11.70,77.8,1
BSR,F,9.00,74.7,0
HS,M,7.70,71.2,1
LC,F,3.90,60.1,0
LC,F,4.80,62.7,0
BP,M,5.10,56.6,0
HS,M,9.90,68.5,1
UC,F,8.40,75.8,0
6T,F,28.40,94.0,0
BP,M,12.70,75.9,0
LC,F,4.20,60.0,0
LC,F,3.70,58.3,0
BP,F,5.20,79.1,0
BF,F,16.90,82.9,0
HS,M,7.56,69.0,1
LC,M,11.30,86.0,1
BF,M,37.40,104.4,1
BP,F,2.50,46.3,0
BP,F,10.30,72.6,0
CKAN,F,36.25,94.0,1
CS,F,14.00,84.9,0
BP,M,15.80,83.1,0
6T,F,26.70,91.5,0
